competitors_name,country,judging,finals,total,place,competition_type,date,location,url,img_url,competition
Jeanette Martin,"Hallandale Beach, FL",6,,6,2,women’s figure – masters 55+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Claudia Karr,"Miami, FL",9,,9,3,women’s figure – masters 55+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Debbie Raday,"Denver, CO",12,,12,4,women’s figure – masters 55+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Iulia Baba,Romania,3,,3,1,women’s bikini – open,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Ekaterina Opekunova,Russia,6,,6,2,women’s bikini – open,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Ndeye Ndour,", FL",11,,11,3,women’s bikini – open,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Alessia Facchin,Italy,13,,13,4,women’s bikini – open,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Eli Fernandez,Mexico,14,,14,5,women’s bikini – open,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Ally Vatthauer,"Pinellas Park, FL",17,,17,6,women’s bikini – open,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Huong Mai,"Carrollton, TX",21,,21,7,women’s bikini – open,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Gina Sardina,"Orange, CA",24,,24,8,women’s bikini – open,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Fabiana Alves,Brazil,29,,29,9,women’s bikini – open,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Yuri Maruyama,Japan,30,,30,10,women’s bikini – open,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Michelle Santana,"West Palm Beach, FL",31,,31,11,women’s bikini – open,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Bianca Van Wyk,South Africa,36,,36,12,women’s bikini – open,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Luciana Gisinger,"Budd Lake, NJ",39,,39,13,women’s bikini – open,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Cheryl Sweeney,"West Palm Beach, FL",42,,42,14,women’s bikini – open,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Shawn Hektor Lewis,"Manassas, VA",45,,45,15,women’s bikini – open,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Yamiley Gedeon,"Miami, FL",3,,3,1,women’s bikini – masters 40+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Huong Mai,"Carrollton, TX",6,,6,2,women’s bikini – masters 40+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Fabiana Alves,Brazil,9,,9,3,women’s bikini – masters 40+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Gina Sardina,"Orange, CA",12,,12,4,women’s bikini – masters 40+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Yuri Maruyama,Japan,15,,15,5,women’s bikini – masters 40+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Luciana Gisinger,"Budd Lake, NJ",18,,18,6,women’s bikini – masters 40+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Steffanie Mendel,"Andover, NJ",21,,21,7,women’s bikini – masters 40+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Cheryl Sweeney,"West Palm Beach, FL",24,,24,8,women’s bikini – masters 40+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Shawn Hektor Lewis,"Manassas, VA",27,,27,9,women’s bikini – masters 40+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Yamiley Gedeon,"Miami, FL",3,,3,1,women’s bikini – masters 45+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Fabiana Alves,Brazil,6,,6,2,women’s bikini – masters 45+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Luciana Gisinger,"Budd Lake, NJ",9,,9,3,women’s bikini – masters 45+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Gina Sardina,"Orange, CA",12,,12,4,women’s bikini – masters 45+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Steffanie Mendel,"Andover, NJ",15,,15,5,women’s bikini – masters 45+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Olive Delizo,"Redlands, CA",4,,4,1,women’s bikini – masters 50+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Steffanie Mendel,"Andover, NJ",5,,5,2,women’s bikini – masters 50+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Olive Delizo,"Redlands, CA",4,,4,1,women’s bikini – masters 55+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Steffanie Mendel,"Andover, NJ",5,,5,2,women’s bikini – masters 55+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Janet Lynn West,"Sarasota, FL",9,,9,3,women’s bikini – masters 55+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Ruth Fortou,"Miami, FL",12,,12,4,women’s bikini – masters 55+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Janet Lynn West,"Sarasota, FL",3,,3,1,women’s bikini – masters 60+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Elena Aviles Romero,Spain,3,,3,1,women’s physique – open,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Heather Rigsby,"North Fort Myers, FL",6,,6,2,women’s physique – open,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Manon Dutilly,Canada,9,,9,3,women’s physique – open,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Tiffany Walker,"Monroe, NC",12,,12,4,women’s physique – open,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Heather Johnson,"Fort Worth, TX",15,,15,5,women’s physique – open,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Sandra Amaro,United States,18,,18,6,women’s physique – open,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Carrie Mercier,"Chesapeake, VA",21,,21,7,women’s physique – open,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Nathalee Thompson,Canada,25,,25,8,women’s physique – open,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Kathleen Alvarez,"Wellington, FL",26,,26,9,women’s physique – open,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Santana Francisco,"The Colony, TX",33,,33,10,women’s physique – open,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Farrah Faulkner,"Los Angeles, CA",36,,36,11,women’s physique – open,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Marta Gallegos,"Miami, FL",39,,39,12,women’s physique – open,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Eva Guzman,Mexico,–,,–,NS,women’s physique – open,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Heather Rigsby,"North Fort Myers, FL",3,,3,1,women’s physique – masters 40+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Tiffany Walker,"Monroe, NC",6,,6,2,women’s physique – masters 40+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Heather Johnson,"Fort Worth, TX",9,,9,3,women’s physique – masters 40+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Cristina Chatti,Spain,12,,12,4,women’s physique – masters 40+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Sandra Amaro,United States,15,,15,5,women’s physique – masters 40+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Carrie Mercier,"Chesapeake, VA",18,,18,6,women’s physique – masters 40+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Julie Boley,"Parkland, FL",23,,23,7,women’s physique – masters 40+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Farrah Faulkner,"Los Angeles, CA",24,,24,8,women’s physique – masters 40+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Kathleen Alvarez,"Wellington, FL",26,,26,9,women’s physique – masters 40+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Nathalee Thompson,Canada,30,,30,10,women’s physique – masters 40+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Lisa Leone,"Shelby Twp., MI",34,,34,11,women’s physique – masters 40+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Jolaine Fulps,"Troup, TX",35,,35,12,women’s physique – masters 40+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Becky Short,"Manassas, VA",39,,39,13,women’s physique – masters 40+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Heather Johnson,"Fort Worth, TX",3,,3,1,women’s physique – masters 45+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Cristina Chatti,Spain,6,,6,2,women’s physique – masters 45+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Carrie Mercier,"Chesapeake, VA",9,,9,3,women’s physique – masters 45+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Farrah Faulkner,"Los Angeles, CA",12,,12,4,women’s physique – masters 45+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Julie Boley,"Parkland, FL",16,,16,5,women’s physique – masters 45+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Kathleen Alvarez,"Wellington, FL",17,,17,6,women’s physique – masters 45+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Nathalee Thompson,Canada,21,,21,7,women’s physique – masters 45+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Lisa Leone,"Shelby Twp., MI",24,,24,8,women’s physique – masters 45+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Jolaine Fulps,"Troup, TX",27,,27,9,women’s physique – masters 45+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Becky Short,"Manassas, VA",30,,30,10,women’s physique – masters 45+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Marta Gallegos,"Miami, FL",33,,33,11,women’s physique – masters 45+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Melanie Sullivan,"Ocala, FL",3,,3,1,women’s physique – masters 55+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Kathleen Alvarez,"Wellington, FL",6,,6,2,women’s physique – masters 55+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Eva Guzman,Mexico,9,,9,3,women’s physique – masters 55+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Jeanette Martin,"Hallandale Beach, FL",13,,13,4,women’s physique – masters 55+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Jolaine Fulps,"Troup, TX",14,,14,5,women’s physique – masters 55+,2024-09-28,"Daytona Beach,Florida",https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,,2024-daytona-pro-am-championships
Samson Dauda,United Kingdom,3,3,6,1,men’s bodybuilding – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Andrea Presti,Italy,6,6,12,2,men’s bodybuilding – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Theo Leguerrier,France,9,9,18,3,men’s bodybuilding – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Moe Nsour,Germany,12,12,24,4,men’s bodybuilding – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Enrico Hoffmann,Germany,15,15,30,5,men’s bodybuilding – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Furkan Kaplancan,Turkey,18,18,36,6,men’s bodybuilding – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Chris Ziller,Germany,21,21,42,7,men’s bodybuilding – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Sultan Raydan,Saudi Arabia,24,24,48,8,men’s bodybuilding – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Giorgi Adikashvili,Georgia,27,27,54,9,men’s bodybuilding – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Josh Maley,United Kingdom,30,30,60,10,men’s bodybuilding – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Sam Ashour,Egypt,33,33,66,11,men’s bodybuilding – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Miguel Malimo,Mozambique,3,,3,1,men’s classic physique – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Andrea Mammoli,Italy,6,,6,2,men’s classic physique – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Sebastien Theurel,France,9,,9,3,men’s classic physique – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Stephane Fouilleul,France,12,,12,4,men’s classic physique – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Henry Scholzel,Germany,15,,15,5,men’s classic physique – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Morissana Kante,France,18,,18,6,men’s classic physique – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Tomasz Szafranko,Poland,21,,21,7,men’s classic physique – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Patrick Teutsch,Germany,24,,24,8,men’s classic physique – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Mohamad Al Baghdadi,Germany,27,,27,9,men’s classic physique – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Jordan Kramarz,France,30,,30,10,men’s classic physique – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
John Paul Lusana,Denmark,33,,33,11,men’s classic physique – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Zsofia Molnar,Hungary,3,,3,1,women’s bikini – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Jess Feeney,Ireland,6,,6,2,women’s bikini – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Ottavia Mazza,Italy,9,,9,3,women’s bikini – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Anna Thaarup,Denmark,12,,12,4,women’s bikini – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Chantal Hill,Spain,15,,15,5,women’s bikini – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Loryne Belle,France,18,,18,6,women’s bikini – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Andreina Marquez,Venezuela,21,,21,7,women’s bikini – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Giuditta Taccani,Italy,24,,24,8,women’s bikini – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Claudia Clemente,Portugal,27,,27,9,women’s bikini – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Nastya Sheva,Germany,30,,30,10,women’s bikini – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Morillas Lopez Alejandra,Spain,33,,33,11,women’s bikini – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Francesca Walsh,United Kingdom,36,,36,12,women’s bikini – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Natalie Koursari,Greece,39,,39,13,women’s bikini – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Katarzyna Nowacka,Poland,42,,42,14,women’s bikini – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Laura Ziv,France,45,,45,15,women’s bikini – open,2024-09-28,"Metz,France",https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,,2024-tsunami-nutrition-showdown
Felipe Goncalves,Brazil,3,,3,1,men’s physique – open,2024-09-28,"Rio de Janeiro,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-rio/,,2024-musclecontest-rio
Lucas Lage,Brazil,6,,6,2,men’s physique – open,2024-09-28,"Rio de Janeiro,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-rio/,,2024-musclecontest-rio
Paulo Ricardo,Brazil,9,,9,3,men’s physique – open,2024-09-28,"Rio de Janeiro,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-rio/,,2024-musclecontest-rio
Diogo Basa,Brazil,12,,12,4,men’s physique – open,2024-09-28,"Rio de Janeiro,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-rio/,,2024-musclecontest-rio
Fabio Campos Campos,Brazil,15,,15,5,men’s physique – open,2024-09-28,"Rio de Janeiro,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-rio/,,2024-musclecontest-rio
Gil Batista,Brazil,18,,18,6,men’s physique – open,2024-09-28,"Rio de Janeiro,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-rio/,,2024-musclecontest-rio
Victor Germano,Brazil,21,,21,7,men’s physique – open,2024-09-28,"Rio de Janeiro,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-rio/,,2024-musclecontest-rio
Jorge Ramirez,Peru,24,,24,8,men’s physique – open,2024-09-28,"Rio de Janeiro,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-rio/,,2024-musclecontest-rio
Lucas Fonseca,Brazil,27,,27,9,men’s physique – open,2024-09-28,"Rio de Janeiro,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-rio/,,2024-musclecontest-rio
Itemberg Nunes,Brazil,30,,30,10,men’s physique – open,2024-09-28,"Rio de Janeiro,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-rio/,,2024-musclecontest-rio
Jussie Dantas,Brazil,33,,33,11,men’s physique – open,2024-09-28,"Rio de Janeiro,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-rio/,,2024-musclecontest-rio
Ari Lima,British Indian Ocean Territory,36,,36,12,men’s physique – open,2024-09-28,"Rio de Janeiro,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-rio/,,2024-musclecontest-rio
Marcelo Cassemiro,Brazil,39,,39,13,men’s physique – open,2024-09-28,"Rio de Janeiro,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-rio/,,2024-musclecontest-rio
Adailton Peter,Brazil,42,,42,14,men’s physique – open,2024-09-28,"Rio de Janeiro,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-rio/,,2024-musclecontest-rio
Renata Guaraciaba,Brazil,3,,3,1,women’s wellness – masters 35+,2024-09-28,"Rio de Janeiro,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-rio/,,2024-musclecontest-rio
Nerilde Garcia Strey,Brazil,6,,6,2,women’s wellness – masters 35+,2024-09-28,"Rio de Janeiro,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-rio/,,2024-musclecontest-rio
Dani Balbino,Brazil,9,,9,3,women’s wellness – masters 35+,2024-09-28,"Rio de Janeiro,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-rio/,,2024-musclecontest-rio
Claudia Gentil,Brazil,12,,12,4,women’s wellness – masters 35+,2024-09-28,"Rio de Janeiro,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-rio/,,2024-musclecontest-rio
Claudia Magalhaes,Brazil,15,,15,5,women’s wellness – masters 35+,2024-09-28,"Rio de Janeiro,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-rio/,,2024-musclecontest-rio
Debora Pereira,Brazil,18,,18,6,women’s wellness – masters 35+,2024-09-28,"Rio de Janeiro,Brazil",https://www.ifbbpro.com/competition/2024-musclecontest-rio/,,2024-musclecontest-rio
