Competition,Location,Date,Competitor Name,Country,Judging,Finals,Round 2,Round 3,Routine,Total,Place,Competition Type
2007 Olympia,"Las Vegas, Nevada, USA","September 29, 2007",Ronnie ROCKEL,Germany,110,57,,,,167,11,Men's BB
2007 Olympia,"Las Vegas, Nevada, USA","September 29, 2007",Eddie ABBEW,United Kingdom,160,,,,,160,16,Men's BB
2007 Olympia,"Las Vegas, Nevada, USA","September 29, 2007",Gustava BADELL,Puerto Rico,76,42,,,,118,8,Men's BB
2007 Olympia,"Las Vegas, Nevada, USA","September 29, 2007",Johnnie JACKSON,USA,92,47,,,,139,9,Men's BB
2007 Olympia,"Las Vegas, Nevada, USA","September 29, 2007",Toney FREEMAN,USA,138,67,,,,205,14,Men's BB
2007 Olympia,"Las Vegas, Nevada, USA","September 29, 2007",Vince TAYLOR,USA,160,,,,,160,16,Men's BB
2007 Olympia,"Las Vegas, Nevada, USA","September 29, 2007",Markus RUHL,Germany,160,,,,,160,16,Men's BB
2007 Olympia,"Las Vegas, Nevada, USA","September 29, 2007",Silvio SAMUEL,Spain,76,37,,,,113,7,Men's BB
2007 Olympia,"Las Vegas, Nevada, USA","September 29, 2007",Francisco BAUTISTA,USA,160,,,,,160,16,Men's BB
2007 Olympia,"Las Vegas, Nevada, USA","September 29, 2007",Marcus HALEY,USA,160,,,,,160,16,Men's BB
2007 Olympia,"Las Vegas, Nevada, USA","September 29, 2007",Ronnie COLEMAN,USA,48,21,20.0,,,89,4,Men's BB
2007 Olympia,"Las Vegas, Nevada, USA","September 29, 2007",Will HARRIS,USA,140,68,,,,208,15,Men's BB
2007 Olympia,"Las Vegas, Nevada, USA","September 29, 2007",Jay CUTLER,USA,14,8,6.0,,,28,1,Men's BB
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Gina ALOTTI,USA,5,5,,,,10,1,Figure
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Paola ALMERICO,USA,21,15,,,,36,3,Figure
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Natalie BENSON,USA,20,21,,,,41,4,Figure
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Tivisay BRICENO,USA,44,43,,,,87,9,Figure
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Zena COLLINS,USA,,,,,,,DNF,Figure
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Meriza DE GUZMAN,USA,65,62,,,,127,12,Figure
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Aymara MUNOZ,Venezuela,80,80,,,,160,18,Figure
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Marie GIBBON,USA,68,74,,,,142,14,Figure
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Heather GREEN,USA,21,23,,,,44,5,Figure
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Danielle HOLLANDSHADE,USA,43,42,,,,85,8,Figure
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Pia JOHNSEN,Norway,58,59,,,,117,11,Figure
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Shannon METERAUD,USA,34,35,,,,69,7,Figure
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Claire PARMLEY,USA,75,74,,,,149,16,Figure
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Melissa PEARO,USA,68,64,,,,132,13,Figure
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Zivile RAUDONIENE,Lithuania,30,35,,,,65,6,Figure
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Cynthia SHARP,USA,71,73,,,,144,15,Figure
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Helen TURLEY,USA,80,78,,,,158,17,Figure
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Christine WAN,USA,46,46,,,,92,10,Figure
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Latisha WILDER,USA,11,11,,,,22,2,Figure
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Maria BELANDO,USA,60,63,6.0,28.0,,157,6,Fitness
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Sonja BRUCE,USA,49,53,74.0,43.0,,219,13,Fitness
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Alison DAUGHTRY,USA,80,80,49.0,60.0,,269,17,Fitness
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Shannon DEY,USA,50,44,41.0,52.0,,187,11,Fitness
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Nicole DUNCAN,USA,56,62,15.0,27.0,,160,7,Fitness
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Kendra ELIAS,USA,35,36,73.0,18.0,,162,8,Fitness
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Heidi FLETCHER,USA,33,30,43.0,28.0,,134,4,Fitness
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Susan GROSHEK,USA,80,80,80.0,80.0,,320,19,Fitness
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Liza HUGHES,USA,46,38,28.0,65.0,,177,10,Fitness
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Julie LOHRE,USA,25,13,33.0,36.0,,107,2,Fitness
